,name,stars,review,price,note,open_time,restautant_type,address
0,Restaurant Ngoc Suong Marina Boat,4.2,"(1,822)",None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Seafood,11 D. Nguyễn Văn Trỗi
1,Làm Tí - Food &amp; Beer,4.2,(624),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Brewpub,436 Trường Sa
2,Tengu Japanese Dining,4.6,(66),None,"['Dine-in', 'Takeout', 'Delivery']","['Closes soon', ' ⋅ 9\u202fPM ⋅ Opens 10:30\u202fAM Fri']",Japanese,16 Đường Hoa Cau
3,ZumWhere Phú Nhuận,4.4,(266),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 12\u202fAM']",Izakaya,117B Nguyễn Đình Chính
4,Công Ty TNHH Nhà Hàng Tình Nghĩa,None,None,None,[],['Temporarily closed'],Restaurant,"Lô A1, 6, Phan Xích Long, Phường 7, Quận Phú Nhuận, Thành Phố Hồ Chí Minh"
5,Hội An Bistro,4.2,(253),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 6:30\u202fAM Fri']",Restaurant,23 Hồng Đức
6,SEPIA Restaurant,4.2,"(1,900)",None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 10\u202fAM Fri']",Restaurant,1 Khổng Tử
7,Ơ BISTRO Thống Nhất - Thủ Đức,4.4,(185),None,"['Dine-in', 'Takeout', 'Delivery']","['Closed', ' ⋅ Opens 11\u202fAM Fri']",Restaurant,141 Thống Nhất
8,Sesan Restaurant,4.2,"(2,426)",None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 9\u202fAM Fri']",Restaurant,14 Einstein
9,Quán 37,None,None,None,"['Dine-in', 'Takeout']",[],Bistro,"MP6, Đ. Số 8"
10,Thành phố thủ đức,None,None,None,"['Dine-in', 'Takeout']",[],Restaurant,63b Đ. Số 2
11,Phở Bắc Hải - ông Vành,5.0,(2),None,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 11:59\u202fPM']",Vietnamese,60 Đ. Số 2
12,Quán Rắn Trường Thọ,4.3,(47),None,"['Dine-in', 'Takeout', 'No-contact delivery']","['Opens soon', ' ⋅ 9\u202fAM']",Restaurant,177 Đ. Số 11
13,Quán nhậu,5.0,(3),None,"['Dine-in', 'Takeout']",[],Bistro,102 Đ. Số 2
14,Trường Thọ Quán,4.7,(3),None,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 4:30\u202fPM']",Restaurant,32B Đường Số 2
