,name,stars,review,price,note,open_time,restautant_type,address
0,Chocolaterie,5.0,(1),,[],"['Open', ' ⋅ Closes 10\u202fPM']",Chocolate artisan,2 Lam Son Square
1,Ẩm Thực RIVIA - RIVIA Food &amp; Dining,4.2,(515),,"['Dine-in', 'Curbside pickup', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Vietnamese,18 Đ. Nguyễn Cư Trinh
2,Quan An Anh Map,4.7,(59),,"['Dine-in', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,241/47 Đ. Phạm Ngũ Lão
3,La Table De Saigon Restaurant,3.6,(64),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 9\u202fPM']",Vietnamese,185/26 Đ. Phạm Ngũ Lão
4,Restaurant - 195/8F Đường Phạm Ngũ Lão,4.3,(6),,"['Dine-in', 'Takeout']",['Open 24 hours'],Vietnamese,195/8f Đ. Phạm Ngũ Lão
5,Nhà Hàng Asian Kitchen,4.2,(321),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Asian,185 8
6,Gujarat Indian Restaurant,4.7,(211),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11:30\u202fPM']",Indian,179 Đ. Phạm Ngũ Lão
7,Shanti Indian Cuisine,4.4,(457),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Indian,279 Đ. Phạm Ngũ Lão
8,Happy Thai Saigon,4.5,(372),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10\u202fPM']",Thai,207 Đ. Phạm Ngũ Lão
9,Nhan chuyen khoan (banh mi thit),5.0,(3),,['Dine-in'],"['Open', ' ⋅ Closes 8\u202fPM']",Restaurant,203 Đ. Phạm Ngũ Lão
10,Jasmine Restaurant &amp; Bar,5.0,(1),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Asian,28 Đ. Phạm Ngũ Lão
11,Quán rượu,5.0,(1),,"['""A small family operated ', 'restaurant', ' with some of the best pho in&nbsp;...""']",[],Bistro,185/8f Đ. Phạm Ngũ Lão
12,Ngoc Anh noodle station,,,,[],[],Restaurant,25/24 Tôn Thất Tùng
13,Nhà Hàng Du Ký,4.2,(196),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 12\u202fAM']",Seafood,103A Đ. Phạm Ngũ Lão
14,Home Saigon Restaurant &amp; Bar,4.5,(303),,"['Dine-in', 'Takeout', 'Delivery']","['Open', ' ⋅ Closes 10:30\u202fPM']",Vietnamese,185/28 Đ. Phạm Ngũ Lão
15,The Alley Cat Restaurant,4.3,(47),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 12\u202fAM']",Asian,241/10 Đ. Phạm Ngũ Lão
16,Dac San Pho 79 Restaurant,4.1,(530),$$$,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10:30\u202fPM']",Restaurant,79 Đ. Sương Nguyệt Anh
17,Ẩm Thực Đường Phố,4.0,(19),,"['Dine-in', 'Takeout']","['Closed', ' ⋅ Opens 6\u202fPM']",Pho,177 Đ. Bùi Viện
18,Local restaurant,4.8,(6),,"['Dine-in', 'Takeout']","['Open', ' ⋅ Closes 10\u202fPM']",Restaurant,323 Đ. Phạm Ngũ Lão
19,Namaste India Restaurant,4.4,(609),,"['Dine-in', 'Takeout', 'No-contact delivery']","['Open', ' ⋅ Closes 11:30\u202fPM']",Indian,189 Đ. Bùi Viện
20,Lam Café,4.2,(618),,"['Dine-in', 'Takeout', 'No delivery']","['Open', ' ⋅ Closes 9\u202fPM']",Restaurant,187 Đ. Bùi Viện
21,Esta Saigon,4.6,(150),None,"['Dine-in', 'No delivery']","['Open', ' ⋅ Closes 11\u202fPM']",Asian Fusion,27 Trần Quý Khoách
